Location,Type,Case,Longitude,Latitude,Log
S11 Dormitory @ Punggol,Dorm,2846,103.895358,1.41649,3.454234896
Sungei Tengah Lodge,Dorm,2203,103.718843,1.3765733,3.343014497
CDPL Tuas Dormitory,Dorm,2096,103.6372409,1.2716183,3.321391278
Jurong Penjuru dormitory,Dorm,2089,103.7311832,1.3164858,3.31993844
Cassia @ Penjuru,Dorm,1937,103.7319575,1.3179788,3.287129621
Acacia Lodge,Dorm,1788,103.7556285,1.339451,3.252367514
Tuas View Dormitory,Dorm,1503,103.6257365,1.3138196,3.176958981
Tuas South Dormitory,Dorm,1355,103.633646,1.2718413,3.131939295
Westlite Toh Guan Dormitory,Dorm,1336,103.7514677,1.3358179,3.125806458
Toh Guan Dormitory,Dorm,1333,103.7531845,1.3381297,3.124830149
Avery Lodge dormitory,Dorm,1210,103.730124,1.320429,3.08278537
Kian Teck Dormitory,Dorm,1132,103.694855,1.328666,3.053846427
Westlite Woodlands,Dorm,1057,103.8095088,1.4615398,3.024074987
The Leo dormitory,Dorm,1019,103.9038015,1.3372976,3.008174184
Blue Stars Dormitory,Dorm,982,103.6952953,1.3331031,2.992111488
SCM Tuas Lodge,Dorm,811,103.6142037,1.2642102,2.909020854
ASPRI Westlite-Papan,Dorm,808,103.7278591,1.3221168,2.907411361
Homestay Lodge,Dorm,728,103.9096635,1.338122,2.862131379
Westlite Mandai,Dorm,715,103.7582034,1.4071627,2.854306042
North Coast Lodge,Dorm,705,103.7873484,1.4561036,2.848189117
Kranji Lodge I,Dorm,681,103.7598538,1.4316705,2.833147112
Kian Teck Hostel,Dorm,618,103.6952288,1.3286465,2.790988475
Alaunia Lodge,Dorm,612,103.822894,1.459944,2.786751422
PPT Lodge 1A,Dorm,595,103.8965299,1.4190013,2.774516966
Shaw Lodge,Dorm,544,103.8841408,1.3371323,2.7355989
Mandai Lodge I,Dorm,530,103.7686363,1.4107043,2.72427587
Changi Lodge II,Dorm,528,103.9971406,1.312778,2.722633923
Hulett Dormitory,Dorm,517,103.8007015,1.4600443,2.713490543
Cochrane Lodge II,Dorm,492,103.8180487,1.4614063,2.691965103
Seatown Dormitory,Dorm,483,103.8447349,1.2789506,2.683947131
Woodlands Dormitory,Dorm,473,103.8046605,1.4547694,2.674861141
Woodlands Lodge I,Dorm,437,103.7948692,1.4500556,2.640481437
Cochrane Lodge I,Dorm,377,103.8201,1.4598279,2.57634135
SSKBJV Dormitory,Dorm,334,103.9875715,1.3220596,2.523746467
HSJV Dormitory,Dorm,328,103.9873355,1.319926,2.515873844
10 Shaw Road,Dorm,326,103.8846311,1.3369777,2.5132176
200A Tuas South Boulevard,Dorm,312,103.6144246,1.2645723,2.494154594
Woodlands Lodge II,Dorm,295,103.797066,1.451315,2.469822016
The Jovell construction site,Construction site,273,103.9654314,1.3576434,2.436162647
Hai Leck Engineering Pte Ltd,Office,269,103.633555,1.293545,2.42975228
8 Sungei Kadut Avenue,Office,258,103.7553264,1.4017428,2.411619706
31 Kranji Crescent,Dorm,237,103.7506975,1.43194865,2.374748346
31 Sungei Kadut Avenue,Dorm,236,103.753568,1.407394,2.372912003
23 Kaki Bukit Road 6,Dorm,233,103.9100032,1.3395813,2.367355921
SJ Dormitory,Dorm,229,103.7928544,1.4522503,2.359835482
Tampines Dormitory,Dorm,217,103.9307823,1.3669697,2.336459734
10 Gul Drive,Dorm,212,103.6736294,1.317769,2.326335861
21 Defu South Street 1,Office,212,103.8984945,1.3440521,2.326335861
2 Sungei Kadut Avenue,Dorm,207,103.7542936,1.3998209,2.315970345
21B Senoko Loop,Dorm,205,103.7974418,1.456279,2.311753861
Tampines Street 62 construction site,Construction site,202,103.9364845,1.3702331,2.305351369
Kenyon/UBS construction site,Construction site,201,103.845221,1.2978935,2.303196057
11 Tech Park Crescent,Office,196,103.6311764,1.3107429,2.292256071
85 Kallang Dormitory,Dorm,193,103.8666072,1.3105724,2.285557309
36 Tuas View Square,Dorm,184,103.6280419,1.299505,2.264817823
11 Tuas Avenue 10,Dorm,181,103.6474839,1.3307878,2.257678575
32 Tuas View Square,Dorm,178,103.6279115,1.2991326,2.250420002
17 Shaw Road,Dorm,171,103.884531,1.3362123,2.23299611
61 Senoko Drive dormitory,Dorm,169,103.807754,1.4663759,2.227886705
21 Tuas View Loop,Dorm,168,103.625357,1.291605,2.225309282
Joo Koon Lodge,Dorm,168,103.671734,1.327233,2.225309282
17 Sungei Kadut Street 4,Office,166,103.7449561,1.4185563,2.220108088
1020 Tai Seng Avenue,Dorm,164,103.8917889,1.3366981,2.214843848
2 Tuas South Street 2,Dorm,162,103.6314782,1.3080456,2.209515015
9B Tech Park Crescent,Dorm,162,103.6309618,1.3109348,2.209515015
Tech Park Crescent Dormitory,Dorm,158,103.629676,1.3093539,2.198657087
Beyond Tuas South Boulevard,Dorm,156,103.6144246,1.2645723,2.193124598
2 Fan Yoong Road,Office,150,103.7037901,1.3287629,2.176091259
Jurong Apartments,Dorm,150,103.6771088,1.3288441,2.176091259
13 Senoko Way,Office,148,103.812593,1.466372,2.170261715
16 Tuas Avenue 3,Office,148,103.654984,1.323735,2.170261715
2 Pioneer Sector Walk,Dorm,148,103.6685407,1.2972429,2.170261715
5 Fourth Chin Bee Road,Office,146,103.717546,1.332413,2.164352856
15 Tuas View Square,Office,145,103.6264533,1.2992357,2.161368002
Clementi N2C3 construction site,Construction site,143,103.762391,1.3271324,2.155336037
80 Tuas Avenue 1,Dorm,142,103.6492506,1.3334696,2.152288344
18 Sungei Kadut Avenue,Office,137,103.754948,1.404638,2.136720567
33 Sungei Kadut Loop,Dorm,136,103.7437489,1.415247,2.133538908
21 Tuas View Square,Dorm,135,103.6274989,1.2989895,2.130333768
3 Sungei Kadut Street 6,Office,135,103.747947,1.4296469,2.130333768
Sembawang Shipyard,Office,133,103.8228136,1.4599064,2.123851641
107 West Coast Vale construction site,Construction site,130,103.7534917,1.3199788,2.113943352
17 Jalan Besut,Office,130,103.7279211,1.3167327,2.113943352
17 Soon Lee Road,Office,129,103.6991438,1.3296351,2.11058971
Mustafa Centre*,Store and Mall,129,103.8555583,1.3097877,2.11058971
Kranji Dormitory,Dorm,128,103.748226,1.435368,2.10720997
2 Sungei Kadut Street 4,Office,121,103.7501383,1.419786,2.08278537
4 Sungei Kadut Street 2,Office,120,103.751567,1.412769,2.079181246
54/56 Tuas View Square,Office,120,103.6271817,1.3019396,2.079181246
12 Kian Teck Crescent,Dorm,119,103.692329,1.333149,2.075546961
Melody Springs construction site,Construction site,117,103.851791,1.4282597,2.068185862
36&38 Kian Teck Drive,Office,115,103.6910854,1.3306215,2.06069784
9 Kian Teck Drive,Dorm,114,103.6938909,1.329752,2.056904851
24 Benoi Place,Dorm,109,103.680535,1.312839,2.037426498
4 Sungei Kadut Avenue,Office,109,103.7544869,1.4003684,2.037426498
33 Senoko Way,Dorm,106,103.813098,1.469388,2.025305865
Lingjack Dormitory,Dorm,104,103.8051414,1.4508314,2.017033339
182 Woodlands Industrial Park E5,Office,100,103.792989,1.451667,2
2 Tech Park Crescent,Dorm,97,103.628741,1.311325,1.986771734
3 Tuas View Circuit,Office,95,103.634575,1.294675,1.977723605
8 Tuas South Lane,Dorm,94,103.6401659,1.279821,1.973127854
5 tech park crescent,Office,92,103.630267,1.311459,1.963787827
53 Sungei Kadut Loop,Dorm,90,103.74327,1.410171,1.954242509
8 Sungei Kadut Loop,Office,90,103.7411354,1.4204408,1.954242509
33 Tuas View Walk 2,Dorm,89,103.6267473,1.2997012,1.949390007
Pesko Engineering Pte Ltd,Office,88,103.676341,1.3263814,1.944482672
63 Senoko Drive,Dorm,87,103.808397,1.46669,1.939519253
59 Sungei Kadut Loop,Office,86,103.7438509,1.4085378,1.934498451
9 Sungei Kadut Street 3,Dorm,86,103.747393,1.415791,1.934498451
20 Benoi Lane,Office,84,103.674211,1.305882,1.924279286
10 Kian Teck Crescent Dormitory,Dorm,83,103.691906,1.333171,1.919078092
Project Glory construction site (closed),Construction site,83,103.850119,1.284342,1.919078092
5 Kian Teck Crescent,Office,81,103.6900299,1.332047,1.908485019
8 Martin Place construction site,Construction site,81,103.8378606,1.2932638,1.908485019
19 Kian Teck Road,Dorm,78,103.6892587,1.3289024,1.892094603
6 Kian Teck Crescent,Dorm,78,103.690887,1.331925,1.892094603
40 Tuas View Square,Dorm,71,103.6286061,1.30071,1.851258349
29 Senoko South Road,Office,70,103.802719,1.454827,1.84509804
69 Tuas South Avenue 1,Dorm,70,103.627425,1.313352,1.84509804
23H Sungei Kadut Street 1,Dorm,68,103.7487999,1.4095386,1.832508913
34 Sungei Kadut Loop,Office,67,103.7429816,1.4147317,1.826074803
38 Tuas View Square,Dorm,66,103.6283826,1.3004065,1.819543936
9A Tech Park Crescent,Office,63,103.630765,1.3109915,1.799340549
10 Tagore Drive,Dorm,62,103.8275131,1.3877975,1.792391689
145 Tuas View Square,Dorm,62,103.6270561,1.3019247,1.792391689
3 Senoko Link,Office,62,103.796696,1.459271,1.792391689
60 Benoi Road,Dorm,60,103.6810883,1.3267533,1.77815125
Proptech Pte Ltd,Office,60,103.7983522,1.454737,1.77815125
16 Fan Yoong Road,Office,59,103.703681,1.332683,1.770852012
13 Kaki Bukit Road 4,Store and Mall,58,103.9114536,1.339073,1.763427994
31 Sungei Kadut Loop,Office,58,103.743463,1.415864,1.763427994
2 Kampong Ampat,Dorm,56,103.882932,1.332711,1.748188027
35 Kian Tech Way,Office,56,103.691259,1.331828,1.748188027
5 Neythal Road,Dorm,56,103.7031846,1.3258373,1.748188027
12 Loyang Drive,Office,54,103.970877,1.3745625,1.73239376
15 Gul Way,Dorm,54,103.67143,1.3155539,1.73239376
20 Senoko Crescent,Office,54,103.805636,1.462698,1.73239376
47 Senoko Drive,Dorm,54,103.805419,1.465206,1.73239376
55 Tuas South Avenue 1,Office,54,103.628753,1.317236,1.73239376
5 Woodlands Industrial Park E1,Office,53,103.7950009,1.4532778,1.72427587
137 Tuas View Square,Dorm,52,103.6277359,1.3015509,1.716003344
7 Kian Teck Crescent,Dorm,52,103.690375,1.332518,1.716003344
9 Benoi Crescent,Dorm,52,103.693412,1.320658,1.716003344
81 Tuas South Street 5,Office,51,103.624083,1.298573,1.707570176
12 Tuas View Place,Dorm,51,103.6297147,1.2988823,1.707570176
51 Paya Ubi Industrial Park,Office,50,103.8976273,1.3254209,1.698970004
52 Tech Park Crescent,Dorm,50,103.629552,1.310349,1.698970004
2 Perumal Road construction site,Construction site,49,103.8555577,1.312709,1.69019608
10 Kranji Link,Office,48,103.7459631,1.4352045,1.681241237
3 Kian Teck Crescent,Dorm,48,103.6896516,1.331542,1.681241237
35 Tuas View Walk 2,Office,48,103.6266398,1.2997628,1.681241237
TTJ Design and Engineering Pte Ltd,Office,48,103.6573673,1.3121182,1.681241237
115 Tuas View Walk 1,Dorm,47,103.6277464,1.3007427,1.672097858
1A Pioneer Sector Walk,Dorm,47,103.6687,1.29598,1.672097858
36 Woodlands Industrial Park E1,Office,47,103.7973477,1.4544583,1.672097858
SAFRA Jutong,Party,47,103.7062804,1.335065,1.672097858
15 Tuas View Close,Office,46,103.6245054,1.3005121,1.662757832
9 Woodlands Industrial Park E5,Dorm,46,103.7984765,1.4530083,1.662757832
98 Kaki Bukit Industrial Terrace,Dorm,45,103.9012795,1.3359396,1.653212514
50 Tech Park Crescent,Dorm,43,103.6296143,1.3101083,1.633468456
54 Tech Park Crescent,Dorm,43,103.629392,1.310394,1.633468456
64 Woodlands Industrial Park E9,Dorm,43,103.799668,1.4505985,1.633468456
148 Woodlands Industrial Park E5,Dorm,42,103.7977715,1.4522424,1.62324929
6 Tuas Basin Link,Dorm,42,103.648497,1.3183689,1.62324929
20 Sungei Kadut Avenue,Dorm,42,103.7553921,1.4048373,1.62324929
Westlite Juniper (closed),Dorm,41,103.7597008,1.4063852,1.612783857
2 Woodlands Industrial Park E1,Dorm,40,103.7949022,1.4532046,1.602059991
Space @ Tuas Apartment (closed),Dorm,40,103.6581812,1.3249131,1.602059991
23 Sungei Kadut Street 2,Dorm,39,103.7469425,1.4135806,1.591064607
5 Sungei Kadut Avenue,Office,39,103.753593,1.399431,1.591064607
6 Tuas South Street 2,Dorm,39,103.6302572,1.3086015,1.591064607
10 Kwong Min Road,Dorm,38,103.702274,1.331155,1.579783597
113 Tuas View Walk 1,Dorm,37,103.6276465,1.3007985,1.568201724
23 Tech Park Crescent,Dorm,36,103.632069,1.309696,1.556302501
11 Defu Lane 1,Dorm,35,103.897539,1.360589,1.544068044
9 Sungei Kadut Avenue,Office,34,103.753817,1.401346,1.531478917
36 Senoko Road,Dorm,33,103.803623,1.465459,1.51851394
9 Woodlands Industrial Park E1,Dorm,33,103.7953929,1.4535495,1.51851394
45 Kian Teck Drive,Dorm,30,103.6893628,1.3303763,1.477121255
NUH renovation site (closed),Construction site,30,103.7830545,1.2946546,1.477121255
6 Tuas View Square,Dorm,29,103.6260229,1.2993141,1.462397998
65 & 67 Tuas View Walk 2,Dorm,29,103.6274764,1.2997876,1.462397998
67 Tuas View Walk 2,Office,29,103.6275321,1.2998094,1.462397998
106 International Road,Dorm,28,103.683413,1.328539,1.447158031
The Florence Residences construction site,Construction site,28,103.8470192,1.31473075,1.447158031
212 Woodlands Industrial Park E5,Dorm,27,103.7926698,1.4509589,1.431363764
PCF Sparklelots preschool,School,27,103.9101539,1.4020321,1.431363764
781 Woodlands Avenue 9,Dorm,26,103.7998258,1.4487644,1.414973348
1 Tuas Avenue 10,Dorm,25,103.645239,1.32823,1.397940009
29 Tuas View Walk 2,Dorm,25,103.6271372,1.2995771,1.397940009
35 Kaki Bukit Place,Dorm,25,103.9034087,1.3342563,1.397940009
44 Toh Guan Road East,Dorm,25,103.7527186,1.3373152,1.397940009
117 Tuas View Walk 1,Dorm,24,103.627857,1.3007034,1.380211242
19A Tech Park Crescent,Dorm,24,103.6320581,1.3101865,1.380211242
214 Tagore Lane,Dorm,24,103.8299493,1.3872432,1.380211242
7 Woodlands Industrial Park E1,Dorm,24,103.7952044,1.453446,1.380211242
Potong Pasir Avenue 1,Dorm,23,103.8669414,1.3349168,1.361727836
Grace Assembly of God,Church,23,103.8163128,1.2942664,1.361727836
57 Tuas View Walk 2,Dorm,22,103.6269832,1.2999909,1.342422681
51H Tuas South Avenue 1,Dorm,21,103.629585,1.317922,1.322219295
9 Gul Street 1,Dorm,21,103.6688729,1.317988,1.322219295
3 Tuas Drive,Dorm,20,103.656667,1.322276,1.301029996
5 Kaki Bukit Industrial Terrace,Dorm,19,103.903335,1.336926,1.278753601
80 Kaki Bukit Industrial Terrace,Dorm,18,103.901814,1.3359336,1.255272505
Northpoint City,Store and Mall,18,103.8364152,1.4279686,1.255272505
1 Sungei Kadut Street 4,Dorm,17,103.75034,1.419542,1.230448921
28 Kian Teck Road,Dorm,17,103.6930291,1.3290785,1.230448921
50A Tuas Link 4,Dorm,17,103.6382613,1.3398692,1.230448921
Citiwall (closed),Store and Mall,17,103.9075329,1.335859,1.230448921
Grandwork Building,Office,17,103.748057,1.416297,1.230448921
109 Tuas View Walk 1,Dorm,16,103.6273484,1.3008866,1.204119983
133 Tuas View Square,Office,16,103.6280287,1.3014253,1.204119983
210 Woodlands Industrial Park E5,Dorm,16,103.7924399,1.4506105,1.204119983
Lee Ah Mooi Old Age Home,Nursing Home,16,103.8307848,1.2764947,1.204119983
Wing Fong Court,Residence,16,103.8788915,1.3118385,1.204119983
25 Kaki Bukit Industrial Terrace,Dorm,16,103.9027932,1.3363163,1.204119983
121 Tuas View Walk 1,Dorm,15,103.6281078,1.3006059,1.176091259
14 Tech Park Crescent,Dorm,15,103.630198,1.310726,1.176091259
40 Kaki Bukit Industrial Terrace,Dorm,15,103.9021122,1.3359584,1.176091259
46 Tech Park Crescent,Dorm,15,103.63017,1.310134,1.176091259
515 Yishun Industrial Park A,Dorm,15,103.8363691,1.4422576,1.176091259
Tuas South Apartments,Dorm,15,103.628007,1.3132957,1.176091259
43 Tuas View Close,Store and Mall,14,103.6254742,1.3007971,1.146128036
7 Gambas Crescent,Office,14,103.8128413,1.4451027,1.146128036
Wizlean Tech Pte Ltd,Office,14,103.779633,1.288329,1.146128036
11 Woodlands Industrial Park E1,Dorm,13,103.7956511,1.4536003,1.113943352
119 Tuas View Walk 1,Office,13,103.6279925,1.3006251,1.113943352
20 Kranji Road,Dorm,13,103.75591,1.435102,1.113943352
208 Woodlands Industrial Park E5,Office,13,103.7917283,1.4504839,1.113943352
7 Tech Park Crescent,Dorm,13,103.630566,1.311349,1.113943352
ABC Hostel,Hotel and Hostel,13,103.859375,1.3037138,1.113943352
144 Tagore Lane,Dorm,12,103.8296527,1.3854104,1.079181246
66 Tech Park Crescent,Office,12,103.62849,1.310734,1.079181246
71 Kaki Bukit Industrial Terrace,Office,12,103.9014941,1.3353968,1.079181246
15 Serangoon North Avenue 1 construction site (closed),Construction site,12,103.870239,1.366675,1.079181246
Tanah Merah Coast Road construction site (closed),Construction site,12,104.0210484,1.3312413,1.079181246
128 Tuas South Avenue 3,Dorm,11,103.6267754,1.2888927,1.041392685
15 Kaki Bukit Road 4,Dorm,11,103.9112724,1.3392936,1.041392685
Keppel Shipyard,Store and Mall,11,103.6774368,1.3008096,1.041392685
Dover Courte International School,School,11,103.779139,1.305583,1.041392685
2 Tuas Avenue 10,Dorm,11,103.645829,1.327615,1.041392685
1 North Coast Drive,Dorm,11,103.7933929,1.45440095,1.041392685
16 Tech Park Crescent,Dorm,10,103.630441,1.310618,1
212 Tagore Lane,Dorm,10,103.829963,1.3871245,1
79 Kaki Bukit Industrial Terrace,Office,10,103.90123,1.335675,1
Micron Semiconductor Asia Pte Ltd,Office,10,103.793629,1.45482,1
Life Church and Missions Singapore,Church,10,103.8907116,1.3279884,1
Wilby residences,Residence,10,103.7883996,1.3321565,1
52 Tuas View Square,Dorm,10,103.6275189,1.3017854,1
3 Buroh Lane,Dorm,10,103.7254273,1.3146334,1
131 Tuas View Square,Dorm,9,103.6281294,1.3014037,0.954242509
15A Senoko Way,Dorm,9,103.8129772,1.4669461,0.954242509
170 Woodlands Industrial Park E7,Dorm,9,103.796108,1.451244,0.954242509
18 Woodlands Industrial Park E1,Dorm,9,103.7961874,1.4538046,0.954242509
44 Kaki Bukit Industrial Terrace,Office,9,103.9020091,1.3360642,0.954242509
564 A-E Balestier Road,Dorm,9,103.84428,1.3268555,0.954242509
Yong Thai Hang,Store and Mall,9,103.8617098,1.3109474,0.954242509
Hero's,Bar and Restaurants,9,103.849116,1.28647,0.954242509
10 Tech Park Crescent,Dorm,8,103.629692,1.310834,0.903089987
100A Central Boulevard,Dorm,8,103.8610024,1.2730544,0.903089987
119 Neythal Road,,8,103.698134,1.32731,0.903089987
12 Tech Park Crescent,Dorm,8,103.629925,1.310803,0.903089987
17 Tuas View Close,,8,103.6246431,1.3008724,0.903089987
204 Tagore Lane,Dorm,8,103.8296825,1.3867974,0.903089987
242 Woodlands Industrial Park E5,Dorm,8,103.792278,1.4516,0.903089987
52 Kaki Bukit Industrial Terrace,Dorm,8,103.9019381,1.3363468,0.903089987
9 Defu South Street 1,Dorm,8,103.8983175,1.3440756,0.903089987
96 Kaki Bukit Industrial Terrace,Dorm,8,103.901352,1.335832,0.903089987
Pukit Panjang Integrated Transport Hub,Office,8,103.7635192,1.3783857,0.903089987
6 Battery Road construction site (closed),Construction site,8,103.8519726,1.2856141,0.903089987
Singpost Center,Store and Mall,8,103.8943833,1.3190065,0.903089987
48 Toh Guan Road East,Dorm,8,103.7540797,1.3368729,0.903089987
5 Sixth Lok Yang Road,Dorm,8,103.6837093,1.3248372,0.903089987
Tuas South Incineration Plant,Nursing Home,8,103.620613,1.295913,0.903089987
216 Tagore Lane,Dorm,7,103.8300304,1.3873604,0.84509804
38 Woodlands Industrial Park E1,Dorm,7,103.7983522,1.454737,0.84509804
72 Tagore Lane,Dorm,7,103.8284744,1.3844346,0.84509804
234 Balestier Road,Residence,7,103.8533054,1.321683,0.84509804
55 Sungei Kadut Loop (closed),Dorm,7,103.743879,1.409562,0.84509804
17C Tuas Road,Dorm,7,103.65568,1.3131697,0.84509804
10 Kaki Bukit Road 1,Dorm,6,103.9025724,1.3353186,0.77815125
12 Kwong Min Road,Dorm,6,103.702135,1.33163,0.77815125
143 Tuas View Square,Dorm,6,103.627231,1.3018608,0.77815125
19 Kian Teck Avenue,Dorm,6,103.693056,1.332484,0.77815125
63 Tuas South Avenue 1,Dorm,6,103.6278791,1.3157737,0.77815125
112 Neythal Road,Office,6,103.6994004,1.3256908,0.77815125
Boulder + Gym,Gym,6,103.8639387,1.3097326,0.77815125
Maxwell MRT construction site,Construction site,6,103.8440866,1.2806893,0.77815125
Natureland East Coast,Spa,6,103.9248474,1.3128978,0.77815125
59H Tuas South Avenue 1,Dorm,5,103.629161,1.3167359,0.698970004
6 Sungei Kadut Street 2,Dorm,5,103.751171,1.412707,0.698970004
Stirling Residences construction site,Construction site,5,103.8046781,1.2919739,0.698970004
Ce La Vi,Bar and Restaurants,5,103.8607219,1.2835077,0.698970004
Church of Singapore,Church,5,103.7756584,1.3446568,0.698970004
Seletar Aerospace Heights,Construction site,5,103.8657322,1.4058779,0.698970004
Strand Hotel,Hotel and Hostel,5,103.8496704,1.2986475,0.698970004
3 Loyang Way 6,Dorm,5,103.97421,1.384818,0.698970004
566 Woodlands Road,Dorm,5,103.7574289,1.408016,0.698970004
Institute of Mental Health,Nursing Home,5,103.8847242,1.3818906,0.698970004
10 Tuas South Street 12,Dorm,4,103.6317981,1.2727692,0.602059991
15 Kaki Bukit Crescent,Dorm,4,103.9071555,1.335842,0.602059991
53L Tuas South Avenue 1,Dorm,4,103.629462,1.31763,0.602059991
55 Genting Lane,Dorm,4,103.8750859,1.3273619,0.602059991
Kampong Bugis worksite,Construction site,4,103.8707395,1.30825925,0.602059991
Orange Valley Nursing Home,Nursing Home,4,103.7688585,1.3188076,0.602059991
Wedding Brocade,Store and Mall,4,103.8421412,1.436958,0.602059991
109 Ubi Avenue 4,Dorm,3,103.89473,1.335029,0.477121255
12 Defu Lane 7,Dorm,3,103.8966815,1.3543291,0.477121255
230 Woodlands Industrial Park E5,Dorm,3,103.7924399,1.4506105,0.477121255
Paya Lebar Quarter Tower 2, Construction site,3,103.8926989,1.316636,0.477121255
Gran Hyatt,Party,3,103.8332639,1.3065167,0.477121255
Masjid Al-muttaqim,Mosque,3,103.8459921,1.3703942,0.477121255
NCS Hub,Bar and Restaurants,3,103.8442065,1.3875495,0.477121255
ICA  Building,Office,1,103.8626432,1.306538,0
Little Gems preschool,School,1,103.8115787,1.2852514,0
Orange Ballroom,Bar and Restaurants,1,103.8942874,1.3168121,0
Singapore Cricket Club,Private Club,1,103.8520304,1.2888541,0
